2025-05-19 12:05:51.499 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.499416", "args": "(17,)", "kwargs": "{}"}}
2025-05-19 12:05:51.499 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.499932", "args": "(16,)", "kwargs": "{}"}}
2025-05-19 12:05:51.499 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.499932", "args": "(15,)", "kwargs": "{}"}}
2025-05-19 12:05:51.499 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.499932", "args": "(14,)", "kwargs": "{}"}}
2025-05-19 12:05:51.501 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.501519", "args": "(13,)", "kwargs": "{}"}}
2025-05-19 12:05:51.502 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.502524", "args": "(12,)", "kwargs": "{}"}}
2025-05-19 12:05:51.502 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.502524", "args": "(11,)", "kwargs": "{}"}}
2025-05-19 12:05:51.503 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.503525", "args": "(10,)", "kwargs": "{}"}}
2025-05-19 12:05:51.503 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.503525", "args": "(9,)", "kwargs": "{}"}}
2025-05-19 12:05:51.504 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.504526", "args": "(8,)", "kwargs": "{}"}}
2025-05-19 12:05:51.506 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.506527", "args": "(7,)", "kwargs": "{}"}}
2025-05-19 12:05:51.506 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.506527", "args": "(6,)", "kwargs": "{}"}}
2025-05-19 12:05:51.507 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.507557", "args": "(5,)", "kwargs": "{}"}}
2025-05-19 12:05:51.508 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.508555", "args": "(4,)", "kwargs": "{}"}}
2025-05-19 12:05:51.508 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.508555", "args": "(3,)", "kwargs": "{}"}}
2025-05-19 12:05:51.508 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.508555", "args": "(2,)", "kwargs": "{}"}}
2025-05-19 12:05:51.509 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.509712", "args": "(1,)", "kwargs": "{}"}}
2025-05-19 12:05:51.510 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.509712", "args": "(1,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "1"}}
2025-05-19 12:05:51.510 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.508555", "args": "(2,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "2"}}
2025-05-19 12:05:51.511 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.508555", "args": "(3,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "6"}}
2025-05-19 12:05:51.511 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.508555", "args": "(4,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "24"}}
2025-05-19 12:05:51.512 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.507557", "args": "(5,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "120"}}
2025-05-19 12:05:51.513 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.506527", "args": "(6,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "720"}}
2025-05-19 12:05:51.513 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.506527", "args": "(7,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "5040"}}
2025-05-19 12:05:51.514 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.504526", "args": "(8,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "40320"}}
2025-05-19 12:05:51.515 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.503525", "args": "(9,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "362880"}}
2025-05-19 12:05:51.515 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.503525", "args": "(10,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "3628800"}}
2025-05-19 12:05:51.516 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.502524", "args": "(11,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "39916800"}}
2025-05-19 12:05:51.516 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.502524", "args": "(12,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "479001600"}}
2025-05-19 12:05:51.517 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.501519", "args": "(13,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "6227020800"}}
